date,mode,strategy_id,strategy_version,strategy_status,data_snapshot_id,starting_equity,ending_equity,realized_pnl,unrealized_pnl,total_pnl,daily_return_pct,cumulative_return_pct,drawdown_pct,trades_opened,trades_closed,pending_orders,open_positions,wins,losses,flats,average_r,expectancy_r,exposure_pct,fees_paid,slippage_estimate,warnings,run_id
2026-06-26,replay,pullback_reclaim_uptrend,v1.0,experimental,ledger_rebuild,100000,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,paper_ops:ledger_rebuild:2026-06-26:replay:pullback_reclaim_uptrend
2026-06-26,replay,volatility_contraction_breakout,v1.0,experimental,ledger_rebuild,100000,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,paper_ops:ledger_rebuild:2026-06-26:replay:volatility_contraction_breakout
2026-06-26,replay,failed_breakout_reversal_short,v1.0,experimental,ledger_rebuild,100000,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,paper_ops:ledger_rebuild:2026-06-26:replay:failed_breakout_reversal_short
2026-06-26,replay,bullish_fvg_continuation,v1.0,experimental,ledger_rebuild,100000,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,paper_ops:ledger_rebuild:2026-06-26:replay:bullish_fvg_continuation
2026-06-25,replay,ts_momentum_sma_atr,v1.0,experimental,ledger_rebuild,100000,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,paper_ops:ledger_rebuild:2026-06-25:replay:ts_momentum_sma_atr
2026-06-25,replay,donchian_breakout_20_10,v1.0,experimental,ledger_rebuild,100000,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,paper_ops:ledger_rebuild:2026-06-25:replay:donchian_breakout_20_10
2026-06-25,replay,cross_sectional_relative_strength,v1.0,experimental,ledger_rebuild,100000,100000,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,paper_ops:ledger_rebuild:2026-06-25:replay:cross_sectional_relative_strength
2026-06-25,replay,pullback_reclaim_uptrend,v1.0,experimental,ledger_rebuild,100000,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,paper_ops:ledger_rebuild:2026-06-25:replay:pullback_reclaim_uptrend
2026-06-25,replay,volatility_contraction_breakout,v1.0,experimental,ledger_rebuild,100000,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,paper_ops:ledger_rebuild:2026-06-25:replay:volatility_contraction_breakout
2026-06-25,replay,failed_breakout_reversal_short,v1.0,experimental,ledger_rebuild,100000,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,paper_ops:ledger_rebuild:2026-06-25:replay:failed_breakout_reversal_short
2026-06-25,replay,bullish_fvg_continuation,v1.0,experimental,ledger_rebuild,100000,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,paper_ops:ledger_rebuild:2026-06-25:replay:bullish_fvg_continuation
