symbol,timestamp,open,high,low,close,volume
AAPL,2026-04-15T13:30:00+00:00,258.16,266.56,257.81,266.43,49913500
AAPL,2026-04-16T13:30:00+00:00,266.8,267.16,261.27,263.4,43323100
AAPL,2026-04-17T13:30:00+00:00,266.96,272.3,266.72,270.23,61436200
AAPL,2026-04-20T13:30:00+00:00,270.33,274.28,270.29,273.05,36590200
AAPL,2026-04-21T13:30:00+00:00,271.5,272.8,265.4,266.17,50209800
AAPL,2026-04-22T13:30:00+00:00,267.82,273.74,266.87,273.17,43249200
AAPL,2026-04-23T13:30:00+00:00,275.05,275.77,271.65,273.43,33399600
AAPL,2026-04-24T13:30:00+00:00,272.76,273.06,269.65,271.06,38157100
AAPL,2026-04-27T13:30:00+00:00,266.09,268.36,265.07,267.61,41466800
AAPL,2026-04-28T13:30:00+00:00,272.34,273.23,268.66,270.71,40018900
AAPL,2026-04-29T13:30:00+00:00,267.55,271.04,267.04,270.17,30047900
AAPL,2026-04-30T13:30:00+00:00,270.5,276,268.14,271.35,91848200
AAPL,2026-05-01T13:30:00+00:00,278.86,287.22,278.37,280.14,79915400
AAPL,2026-05-04T13:30:00+00:00,279.66,280.63,274.86,276.83,46668400
AAPL,2026-05-05T13:30:00+00:00,276.93,284.57,276.5,284.18,49311700
AAPL,2026-05-06T13:30:00+00:00,281.92,288.03,281.07,287.51,58336100
AAPL,2026-05-07T13:30:00+00:00,289.27,292.13,285.78,287.44,45224300
AAPL,2026-05-08T13:30:00+00:00,290.01,294.76,290,293.32,52692800
AAPL,2026-05-11T13:30:00+00:00,291.98,293.88,290.23,292.68,42247300
AAPL,2026-05-12T13:30:00+00:00,292.56,295.27,292.56,294.8,45748100
AAPL,2026-05-13T13:30:00+00:00,293.5,300.92,293.5,298.87,52684300
AAPL,2026-05-14T13:30:00+00:00,299.82,300.45,295.38,298.21,35324900
AAPL,2026-05-15T13:30:00+00:00,297.9,303.2,296.52,300.23,54862800
AAPL,2026-05-18T13:30:00+00:00,300.24,300.66,294.91,297.84,34483000
AAPL,2026-05-19T13:30:00+00:00,296.97,300.51,296.35,298.97,42243600
AAPL,2026-05-20T13:30:00+00:00,298.18,302.8,298.08,302.25,38229800
AAPL,2026-05-21T13:30:00+00:00,301.06,305.54,300.4,304.99,42965100
AAPL,2026-05-22T13:30:00+00:00,306.12,311.4,305.84,308.82,43670200
AAPL,2026-05-26T13:30:00+00:00,309.56,311.82,307.67,308.33,48000500
AAPL,2026-05-27T13:30:00+00:00,308.33,313.26,308.3,310.85,50430900
AAPL,2026-05-28T13:30:00+00:00,310.68,312.8,309.57,312.51,48220400
AAPL,2026-05-29T13:30:00+00:00,311.78,315,309.53,312.06,70026800
AAPL,2026-06-01T13:30:00+00:00,309.63,310.94,305.02,306.31,48849900
AAPL,2026-06-02T13:30:00+00:00,307.46,315.45,306.69,315.2,44534700
AAPL,2026-06-03T13:30:00+00:00,314.18,316.94,308.85,310.26,50836700
AAPL,2026-06-04T13:30:00+00:00,313.23,313.54,309.65,311.23,44869100
AAPL,2026-06-05T13:30:00+00:00,312.86,315.17,307.15,307.34,65310500
AAPL,2026-06-08T13:30:00+00:00,308.74,317.4,301.17,301.54,77949100
AAPL,2026-06-09T13:30:00+00:00,300.28,300.75,287.78,290.55,70108800
AAPL,2026-06-10T13:30:00+00:00,290.74,294.75,287.38,291.58,52793300
AAPL,2026-06-11T13:30:00+00:00,293.72,297,289.59,295.63,42572500
AAPL,2026-06-12T13:30:00+00:00,296.03,297.14,289.62,291.13,38742100
AAPL,2026-06-15T13:30:00+00:00,294.12,297.78,291.7,296.42,45732600
AAPL,2026-06-16T13:30:00+00:00,295.25,300.48,293.97,299.24,39874400
AAPL,2026-06-17T13:30:00+00:00,300.85,302.07,294.36,295.95,42745100
AAPL,2026-06-18T13:30:00+00:00,298.11,300.57,295.62,298.01,85962200
AAPL,2026-06-22T13:30:00+00:00,297.31,302.42,296.76,297.01,44879900
AAPL,2026-06-23T13:30:00+00:00,297.54,301.64,294.18,294.3,52010900
AAPL,2026-06-24T13:30:00+00:00,295.36,299.7,292.94,293.08,53081900
AAPL,2026-06-25T13:30:00+00:00,287.4,288.8,273.75,275.15,107013700
AAPL,2026-06-26T13:30:00+00:00,275,285.95,274.21,283.78,261775500
AAPL,2026-06-29T13:30:00+00:00,286.73,288.37,279.85,281.74,66427000
